occurrenceID;eventID;order;scientificName;sex;lifeStage;taxonRank;basisOfRecord;preparations;dateIdentified;identifiedBy;boldSequenceID;GenBankAccession
BMKR00001;KROK01;Coleoptera;Carabus creutzeri Fabricius, 1801;F;adult;species;preserved specimen;AP;2019;Urška Ratajc;;
BMKR00002;KROK01;Coleoptera;Pterostichus burmeisteri Heer, 1837;F;adult;species;preserved specimen;AP;2019;Urška Ratajc;;
BMKR00003;KROK01;Araneae;Harpactea lepida (C. L. Koch, 1838);M;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
BMKR00004;KROK01;Coleoptera;Pterostichus burmeisteri Heer, 1837;M;adult;species;preserved specimen;AP;2019;Urška Ratajc;;
BMKR00005;KROK01;Araneae;Inermocoelotes inermis (L. Koch, 1855);M;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
BMKR00006;KROK01;Araneae;Tenuiphantes tenebricola (Wider, 1834);M;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
BMKR00007;KROK02;Coleoptera;Cychrus attenuatus (Fabricius, 1792);;;species;preserved specimen;AP;2019;Urška Ratajc;;
BMKR00008;KROK02;Coleoptera;Pterostichus burmeisteri Heer, 1837;F;adult;species;preserved specimen;AP;2019;Urška Ratajc;;
BMKR00009;KROK02;Araneae;Coelotes atropos (Walckenaer, 1830);M;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
BMKR00010;KROK02;Araneae;Inermocoelotes inermis (L. Koch, 1855);M;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
BMKR00011;KROK02;Araneae;Inermocoelotes inermis (L. Koch, 1855);M;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
BMKR00012;KROK02;Araneae;Inermocoelotes inermis (L. Koch, 1855);M;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
BMKR00013;KROK02;Araneae;Inermocoelotes inermis (L. Koch, 1855);M;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
BMKR00014;KROK02;Araneae;Inermocoelotes inermis (L. Koch, 1855);M;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
BMKR00015;KROK02;Araneae;Inermocoelotes inermis (L. Koch, 1855);M;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
BMKR00016;KROK02;Coleoptera;Abax ovalis (Duftschmid, 1812);F;adult;species;preserved specimen;AP;2019;Urška Ratajc;KROK008-19;MT994068
BMKR00017;KROK04;Coleoptera;Cychrus attenuatus (Fabricius, 1792);;;species;preserved specimen;AP;2019;Urška Ratajc;;
BMKR00018;KROK04;Coleoptera;Pterostichus burmeisteri Heer, 1837;F;adult;species;preserved specimen;AP;2019;Urška Ratajc;;
BMKR00019;KROK02;Geophilomorpha;Strigamia acuminata (Leach, 1814);F;adult;species;preserved specimen;AP;2019;Ivan Kos;;
BMKR00020;KROK02;Geophilomorpha;Strigamia acuminata (Leach, 1814);F;adult;species;preserved specimen;AP;2019;Ivan Kos;;
BMKR00021;KROK04;Coleoptera;Carabus creutzeri Fabricius, 1801;F;adult;species;preserved specimen;AP;2019;Urška Ratajc;KROK011-19;MT994074
BMKR00022;KROK05;Coleoptera;Pterostichus burmeisteri Heer, 1837;F;adult;species;preserved specimen;AP;2019;Urška Ratajc;;
BMKR00023;KROK03;Araneae;Inermocoelotes inermis (L. Koch, 1855);M;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
BMKR00024;KROK03;Araneae;Tenuiphantes tenebricola (Wider, 1834);F;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
BMKR00025;KROK04;Araneae;Coelotes atropos (Walckenaer, 1830);M;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
BMKR00026;KROK04;Araneae;Inermocoelotes anoplus (Kulczynski, 1897);M;adult;species;preserved specimen;AP;2019;Žan Kuralt;;
